ID,candidate,date,units,event,occur_count,svrty_level
0,ABCDE00001,7TG10101,22,Component1_SensorJ_exceededLimit,1,1
1,ABCDE00001,34504,43,Component2_discreteSensorH_Up,1,2
2,ABCDE00001,34506,65,Component2_discreteSensorH_Up,1,2
3,ABCDE00001,34506,65,Component1_SensorJ_exceededLimit,2,1
4,ABCDE00001,34506,65,Component1_SensorJ_exceededLimit,1,1
5,ABCDE00001,34506,65,Component1_SensorJ_exceededLimit,2,1
6,ABCDE00001,34510,108,Component2_discreteSensorH_Up,1,2
7,ABCDE00001,34512,129,Component1_SensorJ_High,1,2
8,ABCDE00001,34512,129,Component1_SensorJ_exceededLimit,2,1
9,ABCDE00001,34512,129,Component1_SensorJ_exceededLimit,1,1
10,ABCDE00001,34514,151,Component2_discreteSensorH_Up,3,2
11,ABCDE00001,34514,151,Component3_deltaSensorB_High,1,1
12,ABCDE00001,34514,151,Component1_SensorJ_exceededLimit,1,1
13,ABCDE00001,34514,151,Component1_SensorJ_exceededLimit,1,1
14,ABCDE00001,34516,172,Component3_deltaSensorB_High,5,1
15,ABCDE00001,34516,172,Component3_deltaSensorB_High,2,1
16,ABCDE00001,34516,172,Component3_deltaSensorB_High,3,1
17,ABCDE00001,34516,172,Component3_deltaSensorB_High,4,1
18,ABCDE00001,34516,172,Component3_deltaSensorB_High,6,1
19,ABCDE00001,34516,172,Component3_deltaSensorB_High,8,1
20,ABCDE00001,34516,172,Component3_deltaSensorB_High,5,1
21,ABCDE00001,34516,172,Component3_deltaSensorB_High,5,1
22,ABCDE00001,34516,172,Component3_deltaSensorB_High,6,1
23,ABCDE00001,34516,172,Component3_deltaSensorB_High,1,1
24,ABCDE00001,34516,172,Component3_deltaSensorB_High,16,1
25,ABCDE00001,34516,172,Component3_deltaSensorB_High,6,1
26,ABCDE00001,34516,172,Component3_deltaSensorB_High,8,1
27,ABCDE00001,34516,172,Component1_SensorJ_High,1,2
28,ABCDE00001,34516,172,Component1_SensorJ_High,2,2
29,ABCDE00001,34516,172,Component1_SensorJ_exceededLimit,1,1
30,ABCDE00001,34516,172,Component1_SensorJ_exceededLimit,1,1
31,ABCDE00001,34516,172,Component1_SensorJ_exceededLimit,1,2
32,ABCDE00001,34516,172,Component1_SensorJ_exceededLimit,1,1
33,ABCDE00001,34516,172,Component1_SensorJ_exceededLimit,1,1
34,ABCDE00001,34516,172,Component1_SensorJ_exceededLimit,2,1
35,ABCDE00001,34518,194,Component2_discreteSensorH_Up,3,2
36,ABCDE00001,34518,194,Component3_deltaSensorB_High,10,1
37,ABCDE00001,34518,194,Component3_deltaSensorB_High,4,1
38,ABCDE00001,34518,194,Component3_deltaSensorB_High,9,1
39,ABCDE00001,34518,194,Component2_discreteSensorH_Up,1,2
40,ABCDE00001,34518,194,Component2_discreteSensorH_Up,1,2
41,ABCDE00001,34518,194,Component3_deltaSensorB_High,7,1
42,ABCDE00001,34518,194,Component3_deltaSensorB_High,2,1
43,ABCDE00001,34518,194,Component3_deltaSensorB_High,6,1
44,ABCDE00001,34520,215,Component2_discreteSensorH_Up,1,2
45,ABCDE00001,34520,215,Component1_SensorJ_exceededLimit,1,1
46,ABCDE00001,34522,237,Component1_SensorJ_exceededLimit,1,1
47,ABCDE00001,34524,259,Component1_SensorJ_exceededLimit,1,1
48,ABCDE00001,34524,259,Component1_SensorJ_exceededLimit,1,1
49,ABCDE00001,34524,259,Component1_SensorJ_exceededLimit,1,1
50,ABCDE00001,34526,280,Component2_discreteSensorH_Up,1,2
51,ABCDE00001,34526,280,Component1_SensorJ_exceededLimit,2,1
52,ABCDE00001,34526,280,Component1_SensorJ_exceededLimit,2,1
53,ABCDE00001,34526,280,Component1_SensorJ_exceededLimit,2,1
